                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.678,                 3.3571,                 1.2087,                0.05421,                0.07934,                0.04244,                0.01967,                 2.4459,                 2.7287,                 1.0927,             0.00036504,             0.00036504,             0.00036504
                      2,                 2.5102,                 2.1948,                 1.1045,                0.24508,                0.12321,                0.10266,                0.04173,                 2.5232,                 2.3754,                 1.1046,             0.00067471,             0.00067471,             0.00067471
                      3,                 2.4049,                  2.039,                 1.1278,                0.34022,                0.14191,                0.14039,                 0.0605,                  2.299,                 1.8564,                  1.077,             0.00092327,             0.00092327,             0.00092327
                      4,                 2.2832,                 1.9088,                 1.1188,                0.52655,                0.13439,                0.14038,                0.06538,                 2.1996,                 1.8535,                 1.0783,             0.00083603,             0.00083603,             0.00083603
                      5,                 2.2728,                 1.8426,                 1.1155,                0.42574,                0.16279,                0.15865,                0.06575,                 2.2762,                 1.6958,                 1.0602,             0.00083603,             0.00083603,             0.00083603
                      6,                 2.2342,                 1.6871,                 1.0729,                0.50652,                 0.1699,                0.19032,                 0.0898,                 2.1614,                 1.6986,                 1.0508,             0.00074437,             0.00074437,             0.00074437
                      7,                 2.1432,                 1.5612,                 1.0661,                0.59833,                0.26471,                0.30145,                0.13683,                 2.1627,                 1.5174,                 1.0226,             0.00065271,             0.00065271,             0.00065271
                      8,                 2.1104,                 1.4984,                  1.044,                0.61793,                0.29724,                 0.3393,                0.16546,                 2.0223,                 1.3889,                 1.0127,             0.00056105,             0.00056105,             0.00056105
                      9,                 2.0697,                 1.4602,                 1.0317,                0.63651,                0.21152,                0.26603,                0.12617,                 2.0417,                 1.5268,                 1.0077,              0.0004694,              0.0004694,              0.0004694
                     10,                 2.0307,                 1.4061,                  1.024,                0.59927,                0.30943,                0.34446,                  0.165,                 1.9805,                 1.3349,                0.99539,             0.00037774,             0.00037774,             0.00037774
                     11,                 1.9773,                 1.3645,                 1.0134,                0.64561,                0.30356,                0.35357,                0.17706,                 1.9824,                 1.3481,                0.99335,             0.00028608,             0.00028608,             0.00028608
                     12,                  1.981,                 1.3317,                 1.0065,                0.64743,                0.33259,                0.37163,                0.18458,                 1.9435,                 1.2832,                0.98905,             0.00019442,             0.00019442,             0.00019442
